City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Igboho,NG,8.8333,3.75,74.98,54,100,4.47,overcast clouds
102,Montalto Uffugo,IT,39.4048,16.158,54.18,83,100,5.1,overcast clouds
103,Kavieng,PG,-2.5744,150.7967,82.31,75,88,4.72,moderate rain
104,Buraydah,SA,26.326,43.975,67.01,67,100,8.46,overcast clouds
105,Naze,JP,28.3667,129.4833,72.45,78,38,14.72,scattered clouds
106,Thompson,CA,55.7435,-97.8558,-4.76,100,16,1.9,few clouds
107,Punta Arenas,CL,-53.15,-70.9167,46.51,76,75,4.61,broken clouds
108,Darien,US,41.752,-87.974,67.35,54,75,16.11,broken clouds
109,Katsuura,JP,35.1333,140.3,67.51,57,0,15.01,clear sky
110,Kodiak,US,57.79,-152.4072,35.11,69,0,0.0,clear sky
111,Salalah,OM,17.0151,54.0924,75.11,71,5,2.39,clear sky
112,Havre-Saint-Pierre,CA,50.2334,-63.5986,40.15,90,100,15.79,overcast clouds
113,Gonbad-E Qabus,IR,37.25,55.1672,51.53,60,33,1.7,scattered clouds
114,Black River,JM,18.0264,-77.8487,78.06,81,55,4.97,broken clouds
115,Naryan-Mar,RU,67.6713,53.087,20.66,97,85,6.55,overcast clouds
116,Paamiut,GL,61.994,-49.6678,12.38,84,34,6.67,scattered clouds
117,Daru,PG,-9.0763,143.2092,84.43,60,100,10.38,overcast clouds
118,Hermanus,ZA,-34.4187,19.2345,60.8,83,15,9.86,few clouds
119,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,76,100,8.01,overcast clouds
120,Smithers,CA,54.7804,-127.1743,22.08,86,100,1.45,overcast clouds
121,Chuy,UY,-33.6971,-53.4616,60.55,96,67,7.43,broken clouds
122,Ilulissat,GL,69.2167,-51.1,17.62,73,75,9.22,broken clouds
123,Bequimao,BR,-2.4489,-44.7825,74.35,94,8,2.82,clear sky
124,Lavrentiya,RU,65.5833,-171.0,19.81,84,9,11.81,clear sky
125,Saint-Augustin,CA,51.226,-58.6502,34.29,67,100,5.99,overcast clouds
126,Mae Sai,TH,20.4335,99.8762,68.11,71,11,1.25,few clouds
127,Timizart,DZ,36.8,4.2667,61.79,81,100,4.65,overcast clouds
128,Lorengau,PG,-2.0226,147.2712,81.97,77,100,6.11,overcast clouds
129,Vaitape,PF,-16.5167,-151.75,79.0,77,55,6.17,light rain
130,Provideniya,RU,64.3833,-173.3,24.91,63,75,15.99,light shower snow
131,Champerico,GT,14.3,-91.9167,80.33,74,5,3.31,light rain
132,Salinas,US,36.6777,-121.6555,58.82,75,0,0.0,clear sky
133,Akyab,MM,20.15,92.9,73.27,78,46,5.57,scattered clouds
134,Arraial Do Cabo,BR,-22.9661,-42.0278,71.1,91,71,5.5,broken clouds
135,Fairbanks,US,64.8378,-147.7164,22.23,87,100,0.0,light snow
136,Pathein,MM,16.7833,94.7333,74.37,83,100,4.54,overcast clouds
137,Puerto Baquerizo Moreno,EC,-0.9,-89.6,66.6,80,100,11.32,overcast clouds
138,Cherskiy,RU,68.75,161.3,-1.91,97,100,4.65,overcast clouds
139,Haines Junction,CA,60.7522,-137.5108,22.71,98,100,2.82,overcast clouds
