City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
357,Bandundu,CD,68.97,overcast clouds,-3.3167,17.3667,Coja Color
358,Muroto,JP,67.32,clear sky,33.2833,134.15,Oota Ryokan
359,Barcelos,PT,60.91,overcast clouds,41.5388,-8.6151,Hotel Do Terço
360,Cap Malheureux,MU,70.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
361,Collie,AU,54.43,overcast clouds,-33.3667,116.15,Collie Ridge
362,Elbistan,TR,46.51,clear sky,38.2059,37.1983,Sword Hotel
363,Dengfeng,CN,57.2,overcast clouds,34.4553,113.0281,Songshan Dihao Hotel
364,Cidreira,BR,65.68,overcast clouds,-30.1811,-50.2056,Hotel Castelo
365,Codrington,AU,60.19,overcast clouds,-38.2667,141.9667,
366,Victoria,HK,78.85,scattered clouds,22.2855,114.1577,Mini Central
367,Namibe,AO,63.68,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
368,Lubango,AO,58.75,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
369,Jati,PK,74.86,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
370,Udarnyy,RU,41.92,overcast clouds,54.3409,42.8611,
371,Mayumba,GA,75.15,overcast clouds,-3.432,10.6554,LIKWALE LODGE
372,Iguguno,TZ,67.91,overcast clouds,-4.5697,34.6275,
373,Altagracia De Orituco,VE,72.1,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
375,Coahuayana,MX,76.84,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
377,Hasaki,JP,66.29,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
378,Ponta Do Sol,PT,67.71,broken clouds,32.6667,-17.1,Hotel do Campo
379,Bobbili,IN,68.05,overcast clouds,18.5667,83.3667,Nandagopal Boys Hostel
380,Tautira,PF,76.96,light rain,-17.7333,-149.15,Pension Oaoa
381,Mogadishu,SO,77.74,overcast clouds,2.0371,45.3438,Hotel Juba
382,Limbang,MY,78.91,moderate rain,4.75,115.0,Purnama Hotel
383,Hofn,IS,42.3,overcast clouds,64.2539,-15.2082,Hótel Höfn
385,Mahebourg,MU,71.89,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
386,Qandala,SO,78.22,broken clouds,11.472,49.8728,
